Index,Book Name,Author,Rating,Number of Votes,Score
2146,"The Throne of Broken Gods (Gods and Monsters, #2)",Amber V. Nicole,4.23,"33,326",41
2147,Where Snow Angels Go,Maggie O'Farrell,4.26,705,40
2148,Lapvona,Ottessa Moshfegh,3.53,"73,587",40
2149,The End of Mental Illness,Daniel G. Amen,4.03,"1,434",40
2150,"Butler to the World: How Britain Helps the World's Worst People Launder Money, Commit Crimes, and Get Away with Anything",Oliver Bullough,"really liked it
4.00","2,500",40
2151,The Recent East,Thomas Grattan,3.55,"1,219",39
2152,We Ride Upon Sticks,Quan Barry,3.79,"16,224",39
2153,O Beautiful,Jung Yun,3.66,"3,896",39
2154,"Murder on an Irish Farm (Irish Village Mystery, #8)",Carlene O'Connor,4.21,"4,062",39
2155,"Attack Surface (Little Brother, #3)",Cory Doctorow,3.94,"2,892",39
2156,The XX Brain,Lisa Mosconi,4.01,"2,378",39
2157,The Brother Years,Shannon Burke,4.09,146,38
2158,"Suppression, Deception, Snobbery, and Bias: Why the Press Gets So Much Wrong—And Just Doesn't Care",Ari Fleischer,4.33,242,38
2159,Tiny Nightmares: Very Short Stories of Horror,Lincoln Michel,3.38,"1,976",38
2160,Angel & Hannah,Ishle Park,3.56,325,38
2161,"The Dying Citizen: How Progressive Elites, Tribalism, and Globalization Are Destroying the Idea of America",Victor Davis Hanson,4.37,"1,615",38
2162,Kent State: Four Dead in Ohio,Derf Backderf,4.47,"3,829",38
2163,2030: How Today's Biggest Trends Will Collide and Reshape the Future of Everything,Mauro F. Guillén,3.70,"2,297",38
2164,Waiting to Be Arrested at Night: A Uyghur Poet's Memoir of China's Genocide,Tahir Hamut Izgil,4.30,"1,654",38
2165,The Letters of Shirley Jackson,Shirley Jackson,4.55,361,37
2166,Ghost Forest,Pik-Shuen Fung,4.15,"5,016",37
2167,I Know Who You Are: How an Amateur DNA Sleuth Unmasked the Golden State Killer and Changed Crime Fighting Forever,Barbara Rae-Venter,3.99,"1,744",37
2168,The Barnabus Project,Eric Fan,4.38,"2,460",37
2169,Seabreeze Sunset (Summer Beach #3),Jan Moran,4.39,"7,223",37
2170,The Ghost Orchid (Alex Delaware #39),Jonathan Kellerman,4.21,"12,608",37
2171,"Witch Please (Fix-It Witches, #1)",Ann Aguirre,3.39,"13,433",37
2172,"The Undermining of Twyla and Frank (Hart and Mercy, #2)",Megan Bannen,4.11,"4,580",37
2173,"Angry God (All Saints High, #3)",L.J. Shen,4.18,"50,993",36
2174,"Laptop from Hell: Hunter Biden, Big Tech, and the Dirty Secrets the President Tried to Hide",Miranda Devine,4.38,"3,930",36
2175,"Polysecure: Attachment, Trauma and Consensual Nonmonogamy",Jessica Fern,4.40,"12,219",36
2176,Ophelia After All,Racquel Marie,4.05,"11,092",36
2177,Dirty Laundry,Disha Bose,3.27,"11,958",36
2178,Poesy the Monster Slayer,Cory Doctorow,3.79,309,36
2179,The Weaver and the Witch Queen,Genevieve Gornichec,3.88,"7,246",36
2180,Eddie's Boy (Butcher's Boy #4),Thomas Perry,4.24,"3,672",35
2181,"Kiss of the Blood Prince (The Fae Universe, #1)",Alessa Thorn,3.74,"6,998",35
2182,Don't Burn This Country: Surviving and Thriving in Our Woke Dystopia,Dave Rubin,3.91,465,35
2183,None of This Is True,Lisa Jewell,4.12,"677,428",35
2184,The Cat Man of Aleppo,Irene Latham,4.24,"1,754",35
2185,American Marxism,Mark R. Levin,4.17,"3,987",34
2186,The Sorcerer of Pyongyang,Marcel Theroux,3.78,"1,297",34
2187,"The Awakening as Told by the Boys (Zodiac Academy, #1.5)",Caroline Peckham,4.13,"28,449",34
2188,The Great Stink: How Joseph Bazalgette Solved London's Poop Pollution Problem,Colleen Paeff,4.35,843,33
2189,The Magic Kingdom,Russell Banks,3.67,"1,664",33
2190,Reef Road,Deborah Goodrich Royce,3.54,"2,042",33
2191,"Demon Daughter (Penric and Desdemona, #12)",Lois McMaster Bujold,4.52,"2,286",33
2192,"Bad Lands (Savage Lands, #4)",Stacey Marie Brown,4.16,"14,812",33
2193,Searching for Savanna: The Murder of One Native American Woman and the Violence Against the Many,Mona Gable,3.57,860,33
2194,"Black Sunshine (Dark Eyes, #1)",Karina Halle,3.73,"13,557",32
2195,What Lies in the Woods,Kate Alice Marshall,3.96,"147,566",32
2196,"Saga, Volume 11",Brian K. Vaughan,4.26,"7,168",32
2197,"Dead Lands (Savage Lands, #3)",Stacey Marie Brown,4.15,"20,531",32
2198,Kurangaituku,Whiti Hereaka,4.35,371,32
2199,"Humanly Possible: Seven Hundred Years of Humanist Freethinking, Inquiry, and Hope",Sarah Bakewell,4.03,"1,622",32
2200,Things Have Gotten Worse Since We Last Spoke and Other Misfortunes,Eric LaRocca,3.21,"14,951",31
2201,"Saga, Volume 10",Brian K. Vaughan,4.31,"14,252",31
2202,"Wild Lands (Savage Lands, #2)",Stacey Marie Brown,4.17,"24,781",31
2203,Welcome to Dunder Mifflin: The Ultimate Oral History of The Office,Brian Baumgartner,4.28,"4,186",31
2204,"The Conjurer (The Vine Witch, #3)",Luanne G. Smith,4.23,"10,908",30
2205,"Trinity (Feathers and Fire, #9)",Shayne Silvers,4.70,"1,616",30
2206,"Savage Lands (Savage Lands, #1)",Stacey Marie Brown,4.11,"32,724",30
2207,Breathless: The Scientific Race to Defeat a Deadly Virus,David Quammen,4.21,"1,850",30
2208,"A Trial of Sorcerers (A Trial of Sorcerers, #1)",Elise Kova,4.10,"7,768",29
2209,Patricia Wants to Cuddle,Samantha Allen,3.55,"15,681",29
2210,"Wynd, Book One: The Flight of the Prince",James Tynion IV,4.19,"3,170",29
2211,"Blood Lands (Savage Lands, #5)",Stacey Marie Brown,4.07,"12,492",29
2212,The Revolutionary: Samuel Adams,Stacy Schiff,3.74,"6,696",29
2213,The Great Sex Rescue: The Lies You've Been Taught and How to Recover What God Intended,Sheila Wray Gregoire,4.56,"5,558",28
2214,"The Kind Worth Saving (Henry Kimball/Lily Kintner, #2)",Peter Swanson,3.69,"38,473",28
2215,Marrow,Trisha Wolfe,3.96,"11,375",28
2216,Zen and the Art of Saving the Planet,Thich Nhat Hanh,4.37,"1,811",28
2217,I Will Judge You by Your Bookshelf,Grant Snider,3.74,"19,821",27
2218,"Ruining Dahlia (Mafia Wars, #3)",C.R. Jane,4.06,"9,783",27
2219,"The Best Minds: A Story of Friendship, Madness, and the Tragedy of Good Intentions",Jonathan Rosen,4.06,"12,110",27
2220,"Boss Witch (Fix-It Witches, #2)",Ann Aguirre,3.58,"5,705",27
2221,"A Game of Fate (Hades Saga, #1)",Scarlett St. Clair,4.01,"77,184",26
2222,Little Witch Hazel: A Year in the Forest,Phoebe Wahl,4.64,"2,049",26
2223,Uncultured: A Memoir,Daniella Mestyanek Young,4.08,"9,138",26
2224,"Mrs. Porter Calling (The Emmy Lake Chronicles, #3)",A.J. Pearce,4.18,"4,245",26
2225,"The Roommate (The Shameless Series, #1)",Rosie Danan,3.55,"125,603",26
2226,Material World: The Six Raw Materials That Shape Modern Civilization,Ed Conway,4.52,"3,604",26
2227,"Extra Witchy (Fix-It Witches, #3)",Ann Aguirre,3.76,"3,209",26
2228,"Political Prisoner: Persecuted, Prosecuted, but Not Silenced",Paul Manafort,4.38,139,25
2229,"Crooked Heart (A Death So Sweet, #2)",Candace Wondrak,4.14,"3,641",25
2230,"Scattershot: Life, Music, Elton, and Me",Bernie Taupin,3.59,"1,729",25
2231,A Net for Small Fishes,Lucy Jago,3.87,"3,340",25
2232,Apeirogon,Colum McCann,4.25,"23,529",25
2233,"The Only Purple House in Town (Fix-It Witches, #4)",Ann Aguirre,3.43,"7,103",25
2234,The Case Against the Sexual Revolution: A New Guide to Sex in the 21st Century,Louise Perry,4.28,"2,900",24
2235,"Shadowed Heart (A Death So Sweet, #1)",Candace Wondrak,3.93,"6,028",24
2236,Murder Book,Thomas Perry,3.87,"3,567",24
2237,"Dear William: A Father's Memoir of Addiction, Recovery, Love, and Loss",David Magee,4.48,942,24
2238,The Revolt Against Humanity: Imagining a Future Without Us,Adam Kirsch,4.11,261,24
2239,How to Raise an Elephant: No. 1 Ladies' Detective Agency (21) (No. 1 Ladies' Detective Agency Series),Alexander McCall Smith,4.13,"8,931",23
2240,The Emperor's Sword,Andrew Klavan,4.48,467,23
2241,If It Sounds Like a Quack...: A Journey to the Fringes of American Medicine,Matthew Hongoltz-Hetling,3.80,415,23
2242,The Cuban Heiress,Chanel Cleeton,3.88,"13,285",23
2243,The Beach at Summerly,Beatriz Williams,3.88,"10,767",23
2244,"Goodbye, Again: Essays, Reflections, and Illustrations",Jonny Sun,4.10,"5,508",23
2245,"The Glamourist (The Vine Witch, #2)",Luanne G. Smith,4.16,"15,875",22
2246,"A Kingdom of Ruin (Deliciously Dark Fairytales, #3)",K.F. Breene,4.27,"26,978",22
2247,Woke Racism: How a New Religion Has Betrayed Black America,John McWhorter,3.93,"6,099",22
2248,Swamp Story,Dave Barry,3.87,"7,574",22
2249,Invisible Girl,Lisa Jewell,3.80,"155,043",22
2250,Hotline,Dimitri Nasrallah,4.15,"6,779",22
2251,Disability Pride: Dispatches from a Post-ADA World,Ben Mattlin,4.21,261,22
2252,The Cemetery of Untold Stories,Julia Alvarez,3.67,"7,297",22
2253,Breath Better Spent: Living Black Girlhood,DaMaris B. Hill,4.14,96,21
2254,"A Throne of Ruin (Deliciously Dark Fairytales, #2)",K.F. Breene,4.18,"34,000",21
2255,What Is a Woman?: One Man's Journey to Answer the Question of a Generation,Matt Walsh,4.48,"1,704",21
2256,The End of Her,Shari Lapena,3.78,"100,006",21
2257,The Heiress,Rachel Hawkins,3.86,"109,220",21
2258,"Hunting the Falcon: Henry VIII, Anne Boleyn, and the Marriage That Shook Europe",John Guy,4.16,"1,175",21
2259,"Alias Emma (Alias Emma, #1)",Ava Glass,3.79,"9,239",21
2260,The Incredible Winston Browne,Sean Dietrich,4.38,"4,585",20
2261,"Unbroken Bonds (The Bonds That Tie, #6)",J. Bree,4.02,"59,921",20
2262,The Dancer and the Devil: Stalin and the Murder of Anna Pavlova,John E. O'Neill,3.99,67,20
2263,Buried Deep and Other Stories,Naomi Novik,4.10,999,20
2264,Change: How to Make Big Things Happen,Damon Centola,4.06,796,20
2265,Icarus,K. Ancrum,4.07,"3,738",20
2266,"Wow, No Thank You.: Essays",Samantha Irby,3.82,"46,227",19
2267,"Forced Bonds (The Bonds That Tie, #4)",J. Bree,4.22,"78,194",19
2268,Cotswolds Holiday,Kasey Stockton,4.23,"1,972",19
2269,"Bad, Bad Seymour Brown",Susan Isaacs,3.83,"1,448",19
2270,The Perfect Neighborhood,Liz Alterman,3.65,"3,210",19
2271,"Sunflower Sisters (Lilac Girls, #3)",Martha Hall Kelly,4.26,"27,918",19
2272,"Apostles of Mercy (Noumena, #3)",Lindsay Ellis,4.20,"1,210",19
2273,"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession",Michael Finkel,3.97,"45,511",19
2274,"Vera Wong's Unsolicited Advice for Murderers (Vera Wong, #1)",Jesse Q. Sutanto,4.04,"112,457",19
2275,"A Queen of Ruin (Deliciously Dark Fairytales, #4)",K.F. Breene,4.33,"21,964",18
2276,The Greatest Evil is War,Chris Hedges,4.40,436,18
2277,"The Mistress of Bhatia House (Perveen Mistry, #4)",Sujata Massey,4.02,"4,635",18
2278,Plain Jane and the Mermaid,Vera Brosgol,4.36,"2,047",18
2279,"How Big Things Get Done: The Surprising Factors That Determine the Fate of Every Project, from Home Renovations to Space Exploration and Everything In Between",Bent Flyvbjerg,4.31,"5,546",18
2280,"All Hail (Queen Crow, #1)",J. Bree,4.49,"6,840",17
2281,Lost in Trans Nation: A Child Psychiatrist's Guide Out of the Madness,Miriam Grossman,4.36,485,17
2282,"Unnatural Death (Kay Scarpetta, #27)",Patricia Cornwell,3.98,"14,838",17
2283,The Last Zookeeper,Aaron Becker,4.24,475,17
2284,Year of the Tiger: An Activist's Life,Alice Wong,4.25,"3,123",17
2285,The Butcher of the Bay: Part I (Mounts Bay Saga #1),J. Bree,4.39,"5,032",16
2286,Find You First,Linwood Barclay,4.06,"17,257",16
2287,"Everything I Learned, I Learned in a Chinese Restaurant",Curtis Chin,3.81,"2,967",16
2288,Blood Money: Why the Powerful Turn a Blind Eye While China Kills Americans,Peter Schweizer,4.41,907,16
2289,"Defund Fear: Safety Without Policing, Prisons, and Punishment",Zach Norris,4.25,442,16
2290,Gone Tonight,Sarah Pekkanen,3.82,"28,906",15
2291,Things We Do in the Dark,Jennifer Hillier,3.95,"108,090",15
2292,The Avoidable War: The Dangers of a Catastrophic Conflict between the US and Xi Jinping's China,Kevin Rudd,4.27,"1,274",15
2293,"The Ruthless (Queen Crow, #2)",J. Bree,4.55,"6,037",14
2294,The Bread the Devil Knead,Lisa Allen-Agostini,4.03,"6,237",14
2295,Hola Papi: How to Come Out in a Walmart Parking Lot and Other Life Lessons,John Paul Brammer,4.05,"8,524",14
2296,"Blood Bonds (The Bonds That Tie, #3)",J. Bree,4.21,"89,977",13
2297,Nightwork,Nora Roberts,4.26,"36,479",13
2298,"Life Sentence (Cassie Raven, #2)",A.K. Turner,4.16,"1,501",13
2299,"The Perfumist of Paris (The Jaipur Trilogy, #3)",Alka Joshi,4.16,"28,986",13
2300,Shadows of Pecan Hollow,Caroline Frost,3.83,"5,517",12
2301,Happiness Falls,Angie Kim,3.74,"69,133",12
2302,Love Marriage,Monica Ali,3.90,"17,489",12
2303,Salmon Wars: The Dark Underbelly of Our Favorite Fish,Douglas Frantz,3.79,354,12
2304,"Savage Bonds (The Bonds That Tie, #2)",J. Bree,4.26,"101,036",11
2305,Take Your Breath Away,Linwood Barclay,4.03,"16,981",11
2306,"Fortune and Glory: Tantalizing Twenty-Seven (Stephanie Plum, #27)",Janet Evanovich,4.04,"45,406",10
2307,"Wings of Fury (Wings of Fury, #1)",Emily R. King,3.92,"5,068",10
2308,"Regressive (The Cult of Serendee, #2)",Angel Lawson,4.19,"1,641",10
2309,Look Closer,David Ellis,4.20,"71,017",10
2310,Northern Spy,Flynn Berry,3.70,"49,161",10
2311,The Split,Sharon J. Bolton,3.84,"13,194",9
2312,"Game On: Tempting Twenty-Eight (Stephanie Plum, #28)",Janet Evanovich,4.11,"50,833",9
2313,Dead of Spring: A Hades and Persephone Retelling,Colette Rhodes,3.99,692,9
2314,The Local,Joey Hartstone,4.12,"4,389",9
2315,"Waco Rising: David Koresh, the FBI, and the Birth of America's Modern Militias",Kevin Cook,3.87,"1,311",8
2316,"I Am a Girl from Africa: A Memoir of Empowerment, Community, and Hope",Elizabeth Nyamayaro,4.32,"1,858",8
2317,Look Again: The Power of Noticing What Was Always There,Tali Sharot,3.68,627,8
2318,"It Ends With Violence (Saint View Psychos, #3)",Elle Thorpe,4.29,"16,328",7
2319,The Soulmate,Sally Hepworth,3.79,"150,186",7
2320,Good Eggs,Rebecca Hardiman,3.56,"6,012",7
2321,"Black Wave: Saudi Arabia, Iran, and the Forty-Year Rivalry That Unraveled Culture, Religion, and Collective Memory in the Middle East",Kim Ghattas,4.40,"4,747",7
2322,The Lives of Edie Pritchard,Larry Watson,3.58,903,6
2323,"F*ckboy Psychos (Scarlett Force, #1)",C.M. Stunich,4.38,"5,496",5
2324,Gentle and Lowly: The Heart of Christ for Sinners and Sufferers,Dane C. Ortlund,4.52,"46,600",4
2325,"Unholy Terrors (Scarlett Force, #2)",C.M. Stunich,4.49,"3,764",4
2326,What Happened to the Bennetts,Lisa Scottoline,3.80,"73,552",4
2327,Troubled: The Failed Promise of America's Behavioral Treatment Programs,Kenneth R. Rosen,3.48,430,3
2328,The Foundling,Ann Leary,3.89,"12,851",3
2329,The Mermaid from Jeju,Sumi Hahn,3.89,"3,774",2
